delta;theta;resp;error;rt;obs;block;range;mindelta;study;experiment;stimulus
170;58.5419826445048;52.2662282293142;-6.27575441519057;1.10804815300071;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;178.541982644505;164.177567489605;-14.3644151549;1.26701401199534;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;308.541982644505;308.835887736542;0.293905092037619;1.09988535000593;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;98.5419826445048;104.900695360882;6.3587127163771;0.94959485399886;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
60;38.5419826445048;39.4262128981111;0.884230253606283;0.784345993000898;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;108.541982644505;133.466086285058;24.9241036405537;1.1001862300036;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
120;348.541982644505;335.333901733783;-13.208080910722;0.926306804001797;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
50;298.541982644505;310.576581450617;12.0345988061119;1.58267696800613;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
150;148.541982644505;132.833608911119;-15.7083737333857;0.733270478005579;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
180;328.541982644505;320.515865915275;-8.02611672923001;0.717588503001025;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;108.541982644505;112.92941099995;4.38742835544554;1.00007121700037;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
0;108.541982644505;110.631056016152;2.08907337164695;1.12486075100605;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
160;308.541982644505;294.570191159424;-13.9717914850809;1.20018745499692;1;6;360;-180;Moon et al. (2023);Experiment 2;Motion
0;32.6545514053205;28.347610856896;-4.30694054842454;0.675397204999172;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-180;212.654551405321;213.154356421856;0.499805016535191;0.9833298070007;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
100;112.654551405321;122.745457661198;10.0909062558771;0.880518817000848;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;212.654551405321;34.8501687896669;-177.804382615654;0.699716562994581;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;12.6545514053205;12.2421988002269;-0.412352605093631;1.0501736849983;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;122.654551405321;113.296441061384;-9.35811034393629;0.657866446999833;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;262.654551405321;276.45743066697;13.8028792616498;1.24990062500001;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
170;92.6545514053205;103.774387667528;11.1198362622073;0.674823866997031;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
70;22.6545514053205;34.9675853355276;12.313033930207;2.20846772499499;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
110;272.654551405321;288.552845318589;15.8982939132687;1.4253141750014;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
140;132.654551405321;129.633382128301;-3.02116927701996;1.31629741600045;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;262.654551405321;270.879748946785;8.22519754146464;1.27516997199564;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
70;192.654551405321;196.523205653176;3.8686542478554;1.50013369999942;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
170;22.6545514053205;16.4986704264393;-6.15588097888126;1.15838448099385;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
20;2.65455140532055;346.55427009274;-16.1002813125806;2.13519549099874;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-180;182.654551405321;176.21705766562;-6.43749373970007;1.43573095399915;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
80;102.654551405321;116.999977634477;14.3454262291569;3.56986968200363;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
20;82.6545514053205;92.6189314280514;9.96438002273089;1.91756567099947;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-10;92.6545514053205;101.475953995811;8.82140259049021;1.94204698900285;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
160;292.654551405321;293.642640642344;0.988089237023701;1.28309110499686;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;52.6545514053205;43.660898636216;-8.99365276910451;1.79929931600054;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
150;262.654551405321;249.286269035181;-13.3682823701392;1.49141965199669;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-30;292.654551405321;303.38599178258;10.7314403772598;1.10909575199912;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
180;112.654551405321;121.425884431412;8.77133302609195;1.43396434599708;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;252.654551405321;238.110267762294;-14.5442836430262;1.20135935700091;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
150;102.654551405321;117.482812384944;14.8282609796233;1.11854080399644;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-30;132.654551405321;143.3169142786;10.6623628732791;1.04523768200306;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;202.654551405321;156.453399644228;-46.2011517610929;1.08412455300277;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
30;172.654551405321;154.730159818807;-17.9243915865134;0.767147644000943;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
20;152.654551405321;158.759435503406;6.10488409808582;1.78397921600117;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;172.654551405321;175.693635248151;3.03908384283051;1.46590859700518;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
160;12.6545514053205;21.7510513020424;9.09649989672188;0.949980516998039;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;92.6545514053205;83.306305066069;-9.34824633925156;1.39274725299765;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
150;302.654551405321;315.365753731705;12.7112023263843;1.2085020999948;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
140;162.654551405321;142.131177185385;-20.5233742199357;1.2174057709999;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
120;42.6545514053205;56.5025873616508;13.8480359563302;1.79329136500019;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
130;272.654551405321;262.1501432658;-10.5044081395206;1.10025032699923;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
10;262.654551405321;250.993299055719;-11.6612523496014;1.10859379999602;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;52.6545514053205;59.0389752205473;6.38442381522678;2.03294318100234;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;72.6545514053205;63.15833965128;-9.49621175404057;1.15819992800243;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
60;12.6545514053205;18.619888405583;5.96533700026242;1.80815654599428;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;182.654551405321;174.910895470862;-7.74365593445845;1.05071283299912;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
120;62.6545514053205;51.3177870205165;-11.3367643848041;1.69119757600129;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
130;292.654551405321;290.800897487628;-1.85365391769272;0.882911655004136;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;32.6545514053205;35.7511080345555;3.09655662923491;1.52616052100348;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
80;312.654551405321;306.939919950748;-5.71463145457233;1.52702605599916;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
60;252.654551405321;251.19379077355;-1.46076063177009;1.31593509799859;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
90;162.654551405321;155.648354765781;-7.00619663953938;0.883094744996924;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
110;52.6545514053205;67.0112831979194;14.3567317925988;1.37557237799774;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-10;62.6545514053205;69.5304911585263;6.87593975320577;1.14133911500539;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;202.654551405321;15.6971941222696;173.042642716949;1.65019873500569;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
120;82.6545514053205;55.0643554824398;-27.5901959228808;3.28280018700025;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-10;92.6545514053205;94.5578779354252;1.90332653010464;1.52483627800393;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;242.654551405321;253.388262092045;10.7337106867249;1.92547426500096;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
70;172.654551405321;154.446492911942;-18.2080584933786;0.925219347001985;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;242.654551405321;241.093862826359;-1.5606885789619;1.24081577800098;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;282.654551405321;284.850861583954;2.1963101786331;2.06072328799928;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;92.6545514053205;101.997405527427;9.34285412210625;1.34136315599608;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
10;82.6545514053205;87.9845579202596;5.3300065149391;0.94481683900085;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
40;42.6545514053205;43.4691958189257;0.814644413605137;0.732534176000627;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
180;222.654551405321;222.990652168355;0.336100763034182;1.50873200999922;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;272.654551405321;271.366970336357;-1.28758106896345;0.95772902200406;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
30;242.654551405321;238.349550374134;-4.30500103118626;1.78341967899905;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;2.65455140532055;0;-2.65455140532055;1.49905754499923;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;132.654551405321;141.159463179908;8.50491177458744;1.10901097799797;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
40;92.6545514053205;100.642870744704;7.98831933938303;0.967210322000028;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;162.654551405321;134.384587892624;-28.2699635126961;1.42625568099902;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;252.654551405321;245.565053281692;-7.0894981236286;2.02522484800284;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;2.65455140532055;351.593724355091;-11.06082705023;1.26975246499933;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
0;2.65455140532055;352.384094236009;-10.2704571693114;0.686266158001672;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
170;192.654551405321;175.560303106681;-17.0942482986391;1.17982601699623;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
140;52.6545514053205;34.0709229352959;-18.5836284700246;1.30788040100015;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;182.654551405321;213.674191721589;31.0196403162684;1.15835700000025;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;352.654551405321;335.239469844191;-17.4150815611293;0.783283048993326;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
110;242.654551405321;237.321826264497;-5.3327251408237;0.982987868002965;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;42.6545514053205;41.0553254454984;-1.59922595982216;1.77520396000182;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;62.6545514053205;61.8621545052913;-0.792396900029274;1.3171374529993;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
130;292.654551405321;307.975068114048;15.3205167087275;0.958145076001529;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;342.654551405321;330.996286970165;-11.6582644351556;1.23447413399845;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
90;252.654551405321;249.079548588578;-3.57500281674302;1.16039082300267;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;332.654551405321;316.829762741386;-15.8247886639347;1.74990653999703;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
80;252.654551405321;270.04887049268;17.3943190873597;1.69127855999977;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
100;152.654551405321;144.503003406588;-8.15154799873213;1.20797373000096;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
0;152.654551405321;149.251323251249;-3.40322815407129;1.41720726199856;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;262.654551405321;242.618781370348;-20.0357700349726;1.20785212199553;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
0;262.654551405321;245.708587071669;-16.9459643336516;1.13275245100522;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;322.654551405321;310.768902261287;-11.8856491440337;0.783205368999916;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;122.654551405321;128.352963727931;5.69841232261032;0.808425891002116;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;162.654551405321;142.282832167871;-20.3717192374499;0.626343465999526;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-30;192.654551405321;179.437375405152;-13.217176000169;1.30860881499393;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
50;142.654551405321;149.627047437537;6.97249603221655;1.20257727499848;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
60;82.6545514053205;87.8021595372134;5.14760813189282;2.05372416200407;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-180;262.654551405321;265.081729934893;2.42717852957242;0.804040723000071;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
100;162.654551405321;154.702154522772;-7.95239688254878;1.2837838350024;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;312.654551405321;314.240065943787;1.58551453846678;1.54160073000094;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
50;262.654551405321;260.555278706709;-2.09927269861151;1.19951155699528;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;322.654551405321;310.257564060846;-12.3969873444742;1.09120424999855;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
40;282.654551405321;293.529644835685;10.8750934303641;0.832760402998247;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;342.654551405321;319.566062757573;-23.088488647748;1.03375671400136;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
160;182.654551405321;170.302941472678;-12.3516099326425;1.31648868799675;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;222.654551405321;212.765943323236;-9.88860808208452;1.48285501200007;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;312.654551405321;299.516291040256;-13.1382603650648;1.27479105100065;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
10;302.654551405321;306.95641986714;4.30186846181954;1.06218566400639;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;22.6545514053205;33.5602174547733;10.9056660494528;1.12499994899554;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
50;332.654551405321;323.89285203947;-8.76169936585046;1.30484744500427;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;92.6545514053205;102.091054274376;9.43650286905589;0.833191846999398;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
180;272.654551405321;272.463953058877;-0.19059834644321;1.05850414999441;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;2.65455140532055;337.120460263676;-25.5340911416448;1.20068126099795;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
90;272.654551405321;261.203635035165;-11.450916370156;1.07494586100074;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;322.654551405321;316.830216283677;-5.82433512164317;1.10018980500172;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;62.6545514053205;72.306702690784;9.6521512854635;1.76738025200029;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
30;32.6545514053205;54.0629635371484;21.4084121318279;1.33376182000211;1;7;360;-180;Moon et al. (2023);Experiment 2;Motion
0;327.987994348582;319.98420156501;-8.00379278357207;0.958549380004115;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;77.9879943485819;77.6355762061985;-0.352418142383485;1.50090118600201;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
180;257.987994348582;244.382298298943;-13.6056960496387;0.82558253499883;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
180;77.9879943485819;80.2170240497188;2.22902970113682;1.9670376819995;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
120;317.987994348582;321.873879328776;3.88588498019448;1.55791316899558;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;17.9879943485819;20.7242276483364;2.73623329975443;0.80856425499951;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-150;167.987994348582;143.580045768074;-24.4079485805077;1.14091074700264;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
150;17.9879943485819;15.0092001720297;-2.97879417655221;1.84095905799768;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
50;327.987994348582;311.313897192236;-16.6740971563462;1.68419529899984;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
160;167.987994348582;172.381030970952;4.39303662236981;1.72545698499744;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;217.987994348582;208.048162196535;-9.93983215204722;1.14357310399646;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;357.987994348582;1.52830548368445;3.54031113510251;1.09133402699808;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;97.9879943485819;104.537739339797;6.54974499121475;1.05489581100119;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
70;27.9879943485819;25.1781901004674;-2.80980424811449;0.841793794003024;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
60;327.987994348582;329.160838007968;1.17284365938639;1.07509140700131;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;137.987994348582;147.42535082213;9.43735647354799;1.27474679899751;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
150;347.987994348582;324.370407789916;-23.6175865586661;1.26665202099684;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
40;307.987994348582;309.168348466602;1.18035411802049;1.50800001200696;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;327.987994348582;309.918853461265;-18.0691408873166;2.00000090099638;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
30;297.987994348582;307.954637178471;9.96664282988945;1.46679210900038;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
170;127.987994348582;131.962073414253;3.97407906567059;1.08439631899819;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-130;257.987994348582;252.495115004098;-5.49287934448401;0.843942642000911;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;307.987994348582;296.73158272752;-11.2564116210623;1.00021619600011;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
40;267.987994348582;253.072486935853;-14.915507412729;1.22501775099954;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;337.987994348582;316.787020149778;-21.2009741988037;1.11561187400366;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;357.987994348582;5.4546065577963;7.46661220921436;2.88038742899516;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-10;7.98799434858194;352.325317788402;-15.6626765601798;0.840549256005033;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
90;277.987994348582;302.52834841677;24.5403540681879;1.48319112099853;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-50;327.987994348582;314.09482407701;-13.8931702715716;1.55826091700146;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;87.9879943485819;102.987693165357;14.9996988167746;2.26713860600285;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
170;277.987994348582;268.661924750383;-9.32606959819907;1.39317084199865;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;357.987994348582;331.961494687829;-26.0264996607527;1.32632987800025;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;37.9879943485819;41.698134325565;3.71013997698306;1.37510238600225;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
50;347.987994348582;347.133114338191;-0.8548800103909;1.23683830100344;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
10;337.987994348582;346.672604065513;8.68460971693133;1.89999694700236;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;37.9879943485819;33.5842084707307;-4.40378587785121;1.07548223400227;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;177.987994348582;168.487996324465;-9.49999802411742;1.65076333599427;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
140;37.9879943485819;34.9546696305033;-3.03332471807864;1.80819056300243;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
80;317.987994348582;317.713093730728;-0.274900617853916;2.35837329200149;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
0;317.987994348582;317.242092575733;-0.74590177284864;2.11708629100031;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;117.987994348582;130.776688367859;12.7886940192769;1.29233613100223;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
80;37.9879943485819;61.0467837461035;23.0587893975216;1.79172326800472;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;157.987994348582;149.921743401261;-8.06625094732092;1.19460573700053;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;227.987994348582;225.753627999433;-2.23436634914898;1.58381658599683;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
60;167.987994348582;141.670743708795;-26.3172506397872;1.67568714899971;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
100;67.9879943485819;70.4476048428192;2.45961049423728;1.18389555499743;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-10;77.9879943485819;68.8008849436126;-9.18710940496935;1.1746498020002;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
110;327.987994348582;318.221590884709;-9.76640346387285;0.991212622000603;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
120;207.987994348582;221.619161475012;13.6311671264298;1.02572111399786;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
50;157.987994348582;141.145435534889;-16.842558813693;1.22612366400426;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-140;297.987994348582;308.653632476209;10.6656381276271;0.883177472001989;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
20;277.987994348582;272.00777627373;-5.98021807485242;1.16652950100251;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
0;277.987994348582;290.113155381715;12.1251610331331;1.19142899799772;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
60;217.987994348582;251.911494225218;33.9234998766358;1.76914182199835;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-70;287.987994348582;286.733994961179;-1.25399938740264;1.24152268400212;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
160;127.987994348582;115.543710657969;-12.4442836906131;0.662218468998617;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
70;57.9879943485819;64.5182060208238;6.53021167224188;1.14976839000155;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-170;227.987994348582;244.750358634345;16.7623642857627;1.60871513599704;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-30;257.987994348582;246.836842864341;-11.1511514842408;1.97554623900214;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;57.9879943485819;58.3422833829644;0.354289034382461;1.40035234999959;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-30;87.9879943485819;90.0759638660147;2.08796951743281;1.19229247600015;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-20;107.987994348582;110.930715078678;2.94272073009591;1.44234957000299;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-160;267.987994348582;267.485691250453;-0.502303098129005;1.07541227200272;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
150;117.987994348582;122.31168414846;4.32368979987766;1.08539523900254;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
110;7.98799434858194;22.1487885455714;14.1607941969895;1.22002781100309;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
40;327.987994348582;337.905487118828;9.91749277024593;1.97070978300326;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
110;217.987994348582;212.064633230409;-5.92336111817261;0.991450464003719;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;297.987994348582;296.425244447041;-1.56274990154083;1.45540729100321;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;337.987994348582;314.960852084512;-23.0271422640704;0.882854133000365;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;87.9879943485819;82.8798369634845;-5.10815738509747;1.05821424900205;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
130;317.987994348582;312.614055969611;-5.37393837897076;1.30837746500038;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
20;297.987994348582;292.137364651305;-5.85062969727676;0.808788488997379;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-120;57.9879943485819;68.125181483332;10.13718713475;0.99989474099857;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-100;157.987994348582;141.956033733283;-16.0319606152993;1.17519118500059;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;247.987994348582;240.565830296632;-7.42216405194949;1.23581922599988;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
160;87.9879943485819;83.6609441961093;-4.32705015247267;1.14447056399513;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
120;327.987994348582;310.876276211942;-17.1117181366395;1.29983978199743;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-40;7.98799434858194;330.554571270074;-37.4334230785075;1.09092777999467;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
130;237.987994348582;240.157348499539;2.16935415095728;1.36714495699562;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
140;97.9879943485819;99.897288137451;1.90929378886908;1.07396731500194;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
20;77.9879943485819;90.6445503284729;12.6565559798909;0.716963972998201;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-60;137.987994348582;135.967097957869;-2.02089639071335;0.841259954999259;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-180;317.987994348582;15.9088593726295;57.9208650240475;2.03302145199996;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
10;307.987994348582;305.628022988115;-2.35997136046717;1.56624773000658;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-90;37.9879943485819;35.2605540545028;-2.72744029407918;0.741102845997375;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
100;297.987994348582;297.791282913921;-0.196711434660529;1.29342921200441;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
90;207.987994348582;233.489829465877;25.5018351172947;1.05770922599913;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-80;287.987994348582;291.412969474872;3.42497512628984;1.0451987819979;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
-110;37.9879943485819;42.4091494366642;4.42115508808225;0.81721589800145;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
80;317.987994348582;318.698107096073;0.710112747491337;1.43390822999936;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
30;287.987994348582;290.102443814486;2.11444946590393;1.46750179200171;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
140;147.987994348582;132.758076070786;-15.2299182777955;1.66640140800155;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
70;77.9879943485819;71.9698467622125;-6.01814758636947;0.941569907001394;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
170;267.987994348582;255.646883365045;-12.3411109835371;0.925016485001834;1;8;360;-180;Moon et al. (2023);Experiment 2;Motion
